"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i"
"Woom 3 16 Zoll blaues Fahrrad","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,06.07.2024, 15:05 Uhr","€ 299","","Blau,Gebraucht,Selbstabholung","Verkaufen unser blaues woom 3 Fahrrad","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-16-zoll-blaues-fahrrad-1669650514/",1,299,NA,"Bruck an der Leitha","3","Blau",2024-07-06 15:05:00,1720278300,1,"used",0,1
"Woom 3 grün","4040 Linz","Zuletzt geändert:,06.07.2024, 15:06 Uhr","€ 330","Privatperson","Felgenbremse,40 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gruen-1725097017/",2,330,"4040","4040 Linz","3","Grün",2024-07-06 15:06:00,1720278360,1,"used",0,0
"Woom Bike Größe 4 Gelb","2301 Groß-Enzersdorf","Zuletzt geändert:,06.07.2024, 15:30 Uhr","€ 380","Privatperson","Orange,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-bike-groesse-4-gelb-2093482738/",3,380,"2301","2301 Groß-Enzersdorf","4","Orange",2024-07-06 15:30:00,1720279800,1,"used",1,0
"Woom 2 skyblue wie neu, mit staender, handschuh","1190 Wien, 19. Bezirk, Döbling","Zuletzt geändert:,06.07.2024, 15:03 Uhr","€ 320","Privatperson","Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-skyblue-wie-neu-mit-staender-handschuh-1462062751/",4,320,"1190","1190 Wien","2","Blau",2024-07-06 15:03:00,1720278180,1,"as good as new",0,0
"Woom 3 Kinderfahrrad neuwertig zu verkaufen","Linz Land, Oberösterreich","Zuletzt geändert:,06.07.2024, 14:50 Uhr","€ 380","","Tretlagerschaltung,Felgenbremse,Gelb,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-neuwertig-zu-verkaufen-1616070928/",5,380,NA,"Linz Land","3","Gelb",2024-07-06 14:50:00,1720277400,1,"as good as new",0,1
"Woom 2","Oberösterreich","Zuletzt geändert:,06.07.2024, 14:47 Uhr","€ 280","","Grün,Gebraucht,Selbstabholung","Woom 2 in gutem Zustand mit kleinen Schönheitsfehlern am Sattel (siehe Fotos)","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1861434379/",6,280,NA,"Oberösterreich","2","Grün",2024-07-06 14:47:00,1720277220,1,"used",0,1
"WOOM 6 ""ANNIVERSARY RED EDITION ""","2482 Münchendorf","Zuletzt geändert:,06.07.2024, 13:40 Uhr","€ 570","Privatperson","Kettenschaltung,Felgenbremse,48 cm,26 Zoll,Rot,Neuwertig,Selbstabholung","Absolut neuwertiger Zustand!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-anniversary-red-edition-1136255359/",7,570,"2482","2482 Münchendorf","6","Rot",2024-07-06 13:40:00,1720273200,1,"as good as new",0,0
"Woom 3","7022 Schattendorf","Zuletzt geändert:,06.07.2024, 13:43 Uhr","€ 350","Privatperson","Kettenschaltung,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1505111987/",8,350,"7022","7022 Schattendorf","3","Grün",2024-07-06 13:43:00,1720273380,1,"used",0,0
"Woom4 inkl. FollowMe Tandemkupplung","Graz, Steiermark","Zuletzt geändert:,06.07.2024, 14:42 Uhr","€ 750","","Felgenbremse,20 Zoll,Rot,Gebraucht,Selbstabholung","Woom4, 20""","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom4-inkl-followme-tandemkupplung-919112280/",9,750,NA,"Graz",NA,"Rot",2024-07-06 14:42:00,1720276920,1,"used",0,1
"Woom 2 blau","Steiermark","Zuletzt geändert:,06.07.2024, 13:36 Uhr","€ 260","","Blau,Gebraucht,Selbstabholung","Verkaufe woom 2 in blau","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-blau-2049372163/",10,260,NA,"Steiermark","2","Blau",2024-07-06 13:36:00,1720272960,1,"used",0,1
