"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameProductsRadius0To10_i","AnzahlSameProductsRadius10To30_i","AnzahlSameProductsRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 3 grün","4040 Linz","Zuletzt geändert:,06.07.2024, 15:06 Uhr","€ 330","Privatperson","Felgenbremse,40 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gruen-1725097017/",2,330,4040,"4040 Linz",3,"Grün","2024-07-06 15:06:00",1720278360,1,"used",0,0,4040,48.3274726055503,14.2902050865627,2,6,12,0,5.79909265446053,1.66666666666667,"Grün","used"
"Woom Bike Größe 4 Gelb","2301 Groß-Enzersdorf","Zuletzt geändert:,06.07.2024, 15:30 Uhr","€ 380","Privatperson","Orange,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-bike-groesse-4-gelb-2093482738/",3,380,2301,"2301 Groß-Enzersdorf",4,"Orange","2024-07-06 15:30:00",1720279800,1,"used",1,0,2301,48.1922298865644,16.5919965218334,16,109,20,0,5.94017125272043,0.179640718562874,"Orange","used"
"Woom 2 skyblue wie neu, mit staender, handschuh","1190 Wien, 19. Bezirk, Döbling","Zuletzt geändert:,06.07.2024, 15:03 Uhr","€ 320","Privatperson","Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-skyblue-wie-neu-mit-staender-handschuh-1462062751/",4,320,1190,"1190 Wien",2,"Blau","2024-07-06 15:03:00",1720278180,1,"as good as new",0,0,1190,48.2496587401928,16.3356428310891,76,57,17,0,5.76832099579377,0.10221465076661,"Blau","as good as new"
"Woom 3","7022 Schattendorf","Zuletzt geändert:,06.07.2024, 13:43 Uhr","€ 350","Privatperson","Kettenschaltung,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1505111987/",8,350,7022,"7022 Schattendorf",3,"Grün","2024-07-06 13:43:00",1720273380,1,"used",0,0,7022,47.71340695,16.5140654784036,1,3,106,0,5.85793315448346,0.508474576271186,"Grün","used"
"Woom 2, rot, inkl. Seitenständer (Erstbesitz)","6850 Dornbirn","Zuletzt geändert:,06.07.2024, 13:25 Uhr","€ 350","Privatperson","Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-inkl-seitenstaender-erstbesitz-1414733475/",11,350,6850,"6850 Dornbirn",2,"Rot","2024-07-06 13:25:00",1720272300,1,"as good as new",0,0,6850,47.42506065,9.72485715293716,0,1,0,0,5.85793315448346,30,"Rot","as good as new"
"WOOM 3 Erstbesitz / schöner Zustand","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,06.07.2024, 13:14 Uhr","€ 290","Privatperson","Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Aus Erstbesitz, wenig gefahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-erstbesitz-schoener-zustand-1285346405/",13,290,1210,"1210 Wien",3,"Blau","2024-07-06 13:14:00",1720271640,1,"used",0,0,1210,48.2678639,16.3845716,58,55,18,1,5.66988092298052,0.126050420168067,"Blau","used"
"Kinderfahrrad WOOM 2","4742 Pram","Zuletzt geändert:,06.07.2024, 12:01 Uhr","€ 370","Privatperson","Felgenbremse,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-2-2137637544/",19,370,4742,"4742 Pram",2,"Rot","2024-07-06 12:01:00",1720267260,1,"used",0,0,4742,48.2336982186949,13.5999415195048,1,4,20,0,5.91350300563827,1.76470588235294,"Rot","used"
"Woom 4 20zoll","3441 Judenau","Zuletzt geändert:,06.07.2024, 11:17 Uhr","€ 500","Privatperson","Grün,Neuwertig,Selbstabholung","Insgesamt geschätzt 20mal gefahren. Sehr gut erhalten, kein Kratzer ..in der Garage gehalten.. neuwertig. Mit alles was man am Bild sehen kann.. Ständer, Träger, Schutzbleche, Klingel..","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-20zoll-1753207584/",22,500,3441,"3441 Judenau",4,"Grün","2024-07-06 11:17:00",1720264620,1,"as good as new",0,0,3441,48.2814842706149,16.0327246656212,3,95,51,0,6.21460809842219,0.231660231660232,"Grün","as good as new"
"Woom 3 (blau)","6402 Hatting","Zuletzt geändert:,06.07.2024, 09:46 Uhr","€ 350","Privatperson","Kettenschaltung,Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","16 Zoll, wenig gefahren, sehr guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-2036237165/",31,350,6402,"6402 Hatting",3,"Blau","2024-07-06 09:46:00",1720259160,1,"used",0,0,6402,47.2778040244206,11.1683985838519,1,4,8,0,5.85793315448346,2.72727272727273,"Blau","used"
"Woom 3 Kinderfahrrad","1100 Wien, 10. Bezirk, Favoriten","Zuletzt geändert:,06.07.2024, 13:33 Uhr","€ 250","Privatperson","Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1386272421/",35,250,1100,"1100 Wien",3,"Grün","2024-07-06 13:33:00",1720272780,1,"used",0,0,1100,48.1760137,16.3687822,85,42,18,0,5.52146091786225,0.0980392156862745,"Grün","used"
