"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameSizeRadius0To10_i","AnzahlSameSizeRadius10To30_i","AnzahlSameSizeRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 3 16 Zoll blaues Fahrrad","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,06.07.2024, 15:05 Uhr","€ 299","","Blau,Gebraucht,Selbstabholung","Verkaufen unser blaues woom 3 Fahrrad","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-16-zoll-blaues-fahrrad-1669650514/",1,299,NA,"Bruck an der Leitha",3,"Blau","2024-07-06 15:05:00",1720278300,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,1,5.70044357339069,0.136674259681093,"Blau","used"
"Woom 3 grün","4040 Linz","Zuletzt geändert:,06.07.2024, 15:06 Uhr","€ 330","Privatperson","Felgenbremse,40 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gruen-1725097017/",2,330,4040,"4040 Linz",3,"Grün","2024-07-06 15:06:00",1720278360,0,"used",0,0,4040,48.3274726055503,14.2902050865627,3,25,84,0,5.79909265446053,0.394736842105263,"Grün","used"
"Woom Bike Größe 4 Gelb","2301 Groß-Enzersdorf","Zuletzt geändert:,06.07.2024, 15:30 Uhr","€ 380","Privatperson","Orange,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-bike-groesse-4-gelb-2093482738/",3,380,2301,"2301 Groß-Enzersdorf",4,"Orange","2024-07-06 15:30:00",1720279800,0,"used",1,0,2301,48.1922298865644,16.5919965218334,21,291,116,0,5.94017125272043,0.0728155339805825,"Orange","used"
"Woom 2 skyblue wie neu, mit staender, handschuh","1190 Wien, 19. Bezirk, Döbling","Zuletzt geändert:,06.07.2024, 15:03 Uhr","€ 320","Privatperson","Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-skyblue-wie-neu-mit-staender-handschuh-1462062751/",4,320,1190,"1190 Wien",2,"Blau","2024-07-06 15:03:00",1720278180,0,"as good as new",0,0,1190,48.2496587401928,16.3356428310891,124,156,164,0,5.76832099579377,0.0491803278688525,"Blau","as good as new"
"Woom 3","7022 Schattendorf","Zuletzt geändert:,06.07.2024, 13:43 Uhr","€ 350","Privatperson","Kettenschaltung,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1505111987/",8,350,7022,"7022 Schattendorf",3,"Grün","2024-07-06 13:43:00",1720273380,0,"used",0,0,7022,47.71340695,16.5140654784036,12,13,274,0,5.85793315448346,0.161290322580645,"Grün","used"
"Woom 2, rot, inkl. Seitenständer (Erstbesitz)","6850 Dornbirn","Zuletzt geändert:,06.07.2024, 13:25 Uhr","€ 350","Privatperson","Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-inkl-seitenstaender-erstbesitz-1414733475/",11,350,6850,"6850 Dornbirn",2,"Rot","2024-07-06 13:25:00",1720272300,0,"as good as new",0,0,6850,47.42506065,9.72485715293716,2,3,2,0,5.85793315448346,3,"Rot","as good as new"
"Woom 2","Spittal an der Drau, Kärnten","Zuletzt geändert:,06.07.2024, 13:25 Uhr","€ 320","","Gelb,Neuwertig,Selbstabholung, Versand","Wenig gefahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1087547124/",12,320,NA,"Spittal an der Drau",2,"Gelb","2024-07-06 13:25:00",1720272300,0,"as good as new",1,1,9800,46.7986780631248,13.5009302417885,1,4,9,0,5.76832099579377,2.60869565217391,"Gelb","as good as new"
"WOOM 3 Erstbesitz / schöner Zustand","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,06.07.2024, 13:14 Uhr","€ 290","Privatperson","Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Aus Erstbesitz, wenig gefahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-erstbesitz-schoener-zustand-1285346405/",13,290,1210,"1210 Wien",3,"Blau","2024-07-06 13:14:00",1720271640,0,"used",0,0,1210,48.2678639,16.3845716,86,163,156,1,5.66988092298052,0.0601202404809619,"Blau","used"
"Woom 2","Mistelbach, Niederösterreich","Zuletzt geändert:,06.07.2024, 13:04 Uhr","€ 260","","Mehrfarbig,Gebraucht,Selbstabholung","Woom 2 in Rotweiss wenig gebraucht mit kleinen Gebrauchsspuren. Ständer und Klingel sind dabei. Alles funktioniert einwandfrei.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1968643460/",16,260,NA,"Mistelbach",2,"Andere","2024-07-06 13:04:00",1720271040,0,"used",0,1,2130,48.5451241,16.5344475827696,0,63,239,0,5.56068163101553,0.164383561643836,"Andere","used"
"Woom 2","Neusiedl am See, Burgenland","Zuletzt geändert:,06.07.2024, 12:15 Uhr","€ 330","","Kettenschaltung,bis 16 Zoll,Gelb,Gebraucht,Selbstabholung","Das Woom 2 ist unseren Kind zu klein geworden, daher in gutem gebrauchten Zustand abzugeben – inkl. Seitenständer .","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1695239393/",17,330,NA,"Neusiedl am See",2,"Gelb","2024-07-06 12:15:00",1720268100,0,"used",0,1,7100,47.9553875,16.8736715,40,1,317,0,5.79909265446053,0.107334525939177,"Gelb","used"
