title,location,last_modified,price,seller_info,details,description,item_url
Woom2 Kinderfahrrad Neues Modell (2023),,"Zuletzt geändert:,05.07.2024, 23:22 Uhr",€ 340,,"Felgenbremse,Blau,Neuwertig,Selbstabholung, Versand",Ich verkaufe neuwertiges Kinderfahrrad Woom2. Fahrrad ist als zweites Fahrrad verwendet und hat keine gebrauchsspuren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom2-kinderfahrrad-neues-modell-2023-1500000335/
Woom 4 Kinderfahrrad,6130 Schwaz,"Zuletzt geändert:,05.07.2024, 21:34 Uhr",€ 400,Privatperson,"Rot,Gebraucht,Selbstabholung",Sehr guter Zustand,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-2073435844/
Ku bike 16 zoll,"1090 Wien, 09. Bezirk, Alsergrund","Zuletzt geändert:,05.07.2024, 21:44 Uhr",€ 200,Privatperson,"Felgenbremse,bis 16 Zoll,Orange,Gebraucht,Selbstabholung",Ku bike super leicht (wie woom),https://www.willhaben.at/iad/kaufen-und-verkaufen/d/ku-bike-16-zoll-1343670460/
Woom 5 Kinderfahrrad 24 Zoll Rot - Sehr guter Zustand mit viel Zubehör!,"Vöcklabruck, Oberösterreich","Zuletzt geändert:,05.07.2024, 21:49 Uhr",€ 495,,"Kettenschaltung,Felgenbremse,24 Zoll,Rot,Gebraucht,Selbstabholung",Hallo.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-kinderfahrrad-24-zoll-rot-sehr-guter-zustand-mit-viel-zubehoer-1992618695/
Woom tasche,,"Zuletzt geändert:,05.07.2024, 22:04 Uhr",€ 15,,"Mehrfarbig,Neu,Selbstabholung",Neu,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-tasche-1879807348/
Woom 3,"Rohrbach, Oberösterreich","Zuletzt geändert:,04.07.2024, 20:23 Uhr",€ 300,,"Blau,Gebraucht,Selbstabholung, Versand",Leider müssen wir unser heiß geliebtes Woom 3 hergeben da es zu klein geworden ist .,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1774835761/
Woom 4 blau,6275 Stumm,"Zuletzt geändert:,05.07.2024, 12:06 Uhr",€ 399,Privatperson,"20 Zoll,Blau,Gebraucht,Selbstabholung, Versand",Woom 4 Original in blau mit entsprechenden aber sehr wenigen kinderverursachten Gebrauchsspuren. Siehe Fotos.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-blau-1794093882/
Woom 3 rot,"Tulln, Niederösterreich","Zuletzt geändert:,04.07.2024, 19:58 Uhr",€ 190,,"bis 16 Zoll,Rot,Gebraucht,Selbstabholung, Versand","Verkaufe altes Modell Woom 3, Mittelstange ist etwas dicker als beim neuen Modell.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-1755095708/
Woom 3 mit Ständer und Korb,"Baden, Niederösterreich","Zuletzt geändert:,04.07.2024, 20:13 Uhr",€ 320,,"Blau,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-mit-staender-und-korb-1627558261/
SCott Scale 24 Mountainbike rigid,Burgenland,"Zuletzt geändert:,04.07.2024, 20:19 Uhr",€ 270,,"Kettenschaltung,Felgenbremse,bis 35 cm,24 Zoll,Türkis,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/scott-scale-24-mountainbike-rigid-1840852697/
