title,location,last_modified,price,seller_info,details,description,item_url
Woom 3,7022 Schattendorf,"Zuletzt geändert:,06.07.2024, 13:43 Uhr",€ 350,Privatperson,"Kettenschaltung,Grün,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1505111987/
"Woom 2, rot, inkl. Seitenständer (Erstbesitz)",6850 Dornbirn,"Zuletzt geändert:,06.07.2024, 13:25 Uhr",€ 350,Privatperson,"Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-inkl-seitenstaender-erstbesitz-1414733475/
Woom 2,"Spittal an der Drau, Kärnten","Zuletzt geändert:,06.07.2024, 13:25 Uhr",€ 320,,"Gelb,Neuwertig,Selbstabholung, Versand",Wenig gefahren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1087547124/
Woom 2 blau,Steiermark,"Zuletzt geändert:,06.07.2024, 13:36 Uhr",€ 260,,"Blau,Gebraucht,Selbstabholung",Verkaufe woom 2 in blau,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-blau-2049372163/
"WOOM 6 ""ANNIVERSARY RED EDITION """,2482 Münchendorf,"Zuletzt geändert:,06.07.2024, 13:40 Uhr",€ 570,Privatperson,"Kettenschaltung,Felgenbremse,48 cm,26 Zoll,Rot,Neuwertig,Selbstabholung",Absolut neuwertiger Zustand!,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-anniversary-red-edition-1136255359/
title,location,last_modified,price,seller_info,details,description,item_url
Woom 3,7022 Schattendorf,"Zuletzt geändert:,06.07.2024, 13:43 Uhr",€ 350,Privatperson,"Kettenschaltung,Grün,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1505111987/
"Woom 2, rot, inkl. Seitenständer (Erstbesitz)",6850 Dornbirn,"Zuletzt geändert:,06.07.2024, 13:25 Uhr",€ 350,Privatperson,"Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-inkl-seitenstaender-erstbesitz-1414733475/
Woom 2,"Spittal an der Drau, Kärnten","Zuletzt geändert:,06.07.2024, 13:25 Uhr",€ 320,,"Gelb,Neuwertig,Selbstabholung, Versand",Wenig gefahren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1087547124/
Woom 2 blau,Steiermark,"Zuletzt geändert:,06.07.2024, 13:36 Uhr",€ 260,,"Blau,Gebraucht,Selbstabholung",Verkaufe woom 2 in blau,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-blau-2049372163/
"WOOM 6 ""ANNIVERSARY RED EDITION """,2482 Münchendorf,"Zuletzt geändert:,06.07.2024, 13:40 Uhr",€ 570,Privatperson,"Kettenschaltung,Felgenbremse,48 cm,26 Zoll,Rot,Neuwertig,Selbstabholung",Absolut neuwertiger Zustand!,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-anniversary-red-edition-1136255359/
