title,location,last_modified,price,seller_info,details,description,item_url
,"Korneuburg, Niederösterreich",Zuletzt geändert:,,,"Blau,Neu,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-neu-1694706866/
,"Zell am See, Salzburg",Zuletzt geändert:,,,"Felgenbremse,bis 16 Zoll,Violett,Gebraucht,Selbstabholung","Verkaufe gebrauchtes Woom 2. ohne Getränkehalter und Puppensitz, Original Seitenständer ist dabei",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-775384574/
,"Tulln, Niederösterreich",Zuletzt geändert:,,,"Felgenbremse,bis 35 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung",Verkaufe kaum gefahrenes Woom 2,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1550004653/
,,Zuletzt geändert:,,,"bis 16 Zoll,Grün,Gebraucht,Selbstabholung","Wir verkaufen unsere Woom 3 Fahrrad in top Zustand mit Ständer, Licht vorne ( Original woom) und Reflektoren ( normalerweise separat zum dazukaufen), sind ebenfalls im Preis bereits inbegriffen.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-gruen-1681785814/
,4952 Weng im Innkreis,Zuletzt geändert:,€ 419,,"bis 16 Zoll,Mehrfarbig,Neu,Selbstabholung, Versand",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kaniabikes-16-superleicht-aehnlich-woom-559149972/
,"Korneuburg, Niederösterreich",Zuletzt geändert:,,,"Blau,Gebraucht,Selbstabholung",Verkaufen unser Woom 3 inkl. blauem Woom Helm Gr. M (wegen Umstieg auf die nächste Größe ;)!),https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-inkl-helm-884892619/
,4407 Dietach,Zuletzt geändert:,,,"36 cm,bis 16 Zoll,Grün,Neuwertig,Selbstabholung",Verkaufe ein Woom 3 sehr selten gefahren,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2036150005/
,"Hollabrunn, Niederösterreich",Zuletzt geändert:,,,"Nabenschaltung,bis 16 Zoll,Gelb,Neuwertig,Selbstabholung","Gelbes 3er Woom mit 2-Gang-Automatikschaltung (Sie wechselt abhängig von der Geschwindigkeit den Gang) nur eine Saison benützt. Inklusive Klingel, Ständer und Kotschützer.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/gelbes-woom-3-automagic-1311827590/
,,Zuletzt geändert:,,,"Blau,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-blau-1390713589/
,4860 Alt Lenzing,Zuletzt geändert:,,,"Rot,Gebraucht,Selbstabholung, Versand",Verkaufen gebrauchtes aber gut erhaltenes woom 3 in rot mit Helm gr m,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1957831007/
,"Mattersburg, Burgenland",Zuletzt geändert:,,,"Scheibenbremse,bis 16 Zoll,Grün,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1627687087/
,3400 Klosterneuburg,Zuletzt geändert:,€ 539,,"Kettenschaltung,Scheibenbremse,Grün,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-now-6-in-moss-green-kinderfahrrad-direkt-vom-hersteller-1203065938/
,,Zuletzt geändert:,,,"Blau,Gebraucht,Selbstabholung",Woom 3 (blau),https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1185512728/
,"Vöcklabruck, Oberösterreich",Zuletzt geändert:,,,"Scheibenbremse,20 Zoll,Schwarz,Gebraucht,Selbstabholung","Woom off 4 Kinderfahrrad in einem super Zustand inkl. Woom Glocke, Trinkflaschenhalter und Ständer zu verkaufen. Minimale Gebrauchsspuren.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-4-1310794006/
,"Graz, Steiermark",Zuletzt geändert:,,,"Scheibenbremse,24 Zoll,Schwarz,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-5-off-air-2005217346/
,"Gmunden, Oberösterreich",Zuletzt geändert:,,,"Felgenbremse,Rot,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-1152000219/
,"1210 Wien, 21. Bezirk, Floridsdorf",Zuletzt geändert:,,,"Felgenbremse,bis 16 Zoll,Grün,Gebraucht,Selbstabholung, Versand",Beschreibung original befindet sich uber den link,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom3-785739723/
,"Salzburg Stadt, Salzburg",Zuletzt geändert:,,,"Blau,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-neuwertig-1493849641/
,Tirol,Zuletzt geändert:,,,"Kettenschaltung,Trommelbremse,Grün,Neuwertig,Selbstabholung","Fahrrad wurde sehr selten benutzt, da mein Kind fährt nicht so gern. Es gibt ein paar Abnutzungen, die man auf dem Bild sieht. Zusätzlich verkaufe ich den Helm in gr. L um 30 €. Nur selbst Abholung, privat, keine Rücknahme, keine Garantie.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gekauft-april-2022-1766923688/
,"1230 Wien, 23. Bezirk, Liesing",Zuletzt geändert:,,,"Rot,Gebraucht,Selbstabholung","Rot, mit Ständer und Glocke, guter Zustand - normale Gebrauchsspuren",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-1881789505/
,"Bruck an der Leitha, Niederösterreich",Zuletzt geändert:,,,"Violett,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2001370816/
,,Zuletzt geändert:,,,"Blau,Neuwertig,Selbstabholung",Woom 2 Fahrrad inkl. Seitenständer und Klingel zu vergeben,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-fahrrad-1036784390/
,"1020 Wien, 02. Bezirk, Leopoldstadt",Zuletzt geändert:,,,"Blau,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-blau-mit-klingel-1074683672/
,"Weiz, Steiermark",Zuletzt geändert:,,,"bis 16 Zoll,Gelb,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gelb-mit-pinken-blueten-1340811784/
,"Gänserndorf, Niederösterreich",Zuletzt geändert:,,,"Kettenschaltung,Felgenbremse,bis 35 cm,26 Zoll,Rot,Neuwertig,Selbstabholung","Verkaufe Kinder/Jugendfahrrad der Top-Marke TREK, Modell Wahoo, 26 Zoll Laufradgröße.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/trek-wahoo-26-zoll-1644628579/
,"Villach Land, Kärnten",Zuletzt geändert:,,,"bis 16 Zoll,Violett,Gebraucht,Selbstabholung",Wir verkaufen unser zu klein gewordenes Woom 2 Fahrrad in Purple Haze (Lila),https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-in-lila-1132238618/
,"Baden, Niederösterreich",Zuletzt geändert:,,,"Blau,Gebraucht,Selbstabholung",Zum Verkauf steht ein Original Woom 4 sky blue Fahrrad inkl. Bing Fahrradklingel und Leggie Seitenständer. Das Fahrrad ist einem einwandfreien Zustand ( Gebrauchsspuren siehe Bilder ).,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-4-sky-blue-1632489601/
,"1130 Wien, 13. Bezirk, Hietzing",Zuletzt geändert:,,,"Felgenbremse,bis 16 Zoll,Rosa,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-power-pink-limited-edition-14-zoll-1735812125/
,Burgenland,Zuletzt geändert:,,,"Gelb,Gebraucht,Selbstabholung",Woom 3,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom3-1545714364/
,"Eisenstadt - Umgebung, Burgenland",Zuletzt geändert:,,,"Kettenschaltung,Felgenbremse,bis 35 cm,24 Zoll,Rot,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/stuf-air-leightweight-24-zoll-1131020667/
