title,location,last_modified,price,seller_info,details,description,item_url
"Woom 2, Kinderfahrrad, 14 Zoll, lila (Purple Haze)","Linz Land, Oberösterreich","Zuletzt geändert:,06.07.2024, 10:08 Uhr",€ 320,,"bis 16 Zoll,Violett,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-kinderfahrrad-14-zoll-lila-purple-haze-1701491104/
Woom 3,"Mattersburg, Burgenland","Zuletzt geändert:,06.07.2024, 09:24 Uhr",€ 345,,"Kettenschaltung,Felgenbremse,bis 35 cm,Rot,Gebraucht,Selbstabholung",Sehr guter Zustand,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1527569629/
Woom 3 in lila,Burgenland,"Zuletzt geändert:,06.07.2024, 09:24 Uhr",€ 410,,"Violett,Gebraucht,Selbstabholung",Guter gebrauchter Zustand.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-lila-1185316644/
Woom 3 (blau),6402 Hatting,"Zuletzt geändert:,06.07.2024, 09:46 Uhr",€ 350,Privatperson,"Kettenschaltung,Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","16 Zoll, wenig gefahren, sehr guter Zustand",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-2036237165/
"Woom 3 in lila inkl. Gepäckträger, Klingel, Ständer",Vorarlberg,"Zuletzt geändert:,06.07.2024, 10:00 Uhr",€ 270,,"Violett,Gebraucht,Selbstabholung","DER Klassiker unter den Kinderfahrrädern. Mit den üblichen Gebrauchsspuren aber technisch top. Hat eine gröbere Makke am Unterrohr, siehe Foto.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-lila-inkl-gepaecktraeger-klingel-staender-1169697408/
Kubike Pink 16 S MTB neuwertig leicht wie woom,"Villach, Kärnten","Zuletzt geändert:,05.07.2024, 05:32 Uhr",€ 200,,"Kettenschaltung,Felgenbremse,ab 61 cm,bis 16 Zoll,Rosa,Neuwertig,Selbstabholung",Verkaufe das MTB meiner Enkelin. Zweitrad mit dem sie hier bei uns nur gelegentlich gefahren ist und für die Garage zu schade.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kubike-pink-16-s-mtb-neuwertig-leicht-wie-woom-855273076/
WOOM 2,Steiermark,"Zuletzt geändert:,04.07.2024, 22:13 Uhr",€ 320,,"Felgenbremse,Blau,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1055416578/
"Woom 3 Kinderfahrrad 16"" Limited Anniversary Red Neuwertig","Graz, Steiermark","Zuletzt geändert:,05.07.2024, 11:47 Uhr",€ 400,,"bis 16 Zoll,Rot,Neuwertig,Selbstabholung",Verkaufe unser 1 Jahr altes WOOM 3 Fahrrad in der Farbe anniversary Red (Sonderlackierung),https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-16-limited-anniversary-red-neuwertig-1678018791/
Kinder / Woom 1 Laufrad lila,"Liezen, Steiermark","Zuletzt geändert:,05.07.2024, 00:55 Uhr",€ 190,,"bis 35 cm,bis 16 Zoll,Violett,Neuwertig,Selbstabholung","Verkaufen unser geliebtes Woom 1 Laufrad in der Farbe lila. Gern benutzt, darauf geachtet, normale Gebrauchsspuren.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-woom-1-laufrad-lila-1591004640/
woom 3 rot,8042 Graz,"Zuletzt geändert:,05.07.2024, 05:27 Uhr",€ 350,Privatperson,"Felgenbremse,Rot,Gebraucht,Selbstabholung",Gebrauchtes und gefahrenes woom 3 in rot.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-793700431/
